"","Year","Month","Day","Onset_time","Duration","Time_Max_Speed","Max_Speed","MJO_Phase","MJO_Mag","Event_Type","Flip2_Onset_Time","Flip2_Duration","Flip2_Time_Max_speed","Flip2_Max_Speed"
"66",2018,3,7,11.6,8.17,15,1.69,3,1.97,"Classic",9999,9999,9999,9999
"67",2018,3,8,10.37,14.1,14,2.11,3,1.92,"Classic",9999,9999,9999,9999
"68",2018,3,9,10.28,8.62,14,2.06,3,1.86,"Classic",9999,9999,9999,9999
"69",2018,3,10,11.14,6.03,14,1.92,3,1.39,"Interruption",21.44,4.38,23,0.47
"70",2018,3,11,11.43,10.11,17,1.7,3,1.1,"Classic",9999,9999,9999,9999
"71",2018,3,12,10.63,7.19,14,2.57,3,1.03,"Interruption",3.59,3.07,5,0.3
"72",2018,3,13,10.4,5.09,13,0.58,3,0.92,"Classic",9999,9999,9999,9999
"73",2018,3,14,9.53,9.37,14,2.66,3,0.81,"Classic",9999,9999,9999,9999
"74",2018,3,15,11.46,9.69,17,2.45,4,0.86,"Classic",9999,9999,9999,9999
"75",2018,3,16,10.84,10.46,15,3.19,4,0.7,"Classic",9999,9999,9999,9999
"76",2018,3,17,10.71,9.85,15,1.97,3,0.58,"Classic",9999,9999,9999,9999
"77",2018,3,18,10.49,6.91,14,3.3,3,0.5,"Classic",9999,9999,9999,9999
"78",2018,3,19,10.57,8.43,15,2.81,4,0.27,"Classic",9999,9999,9999,9999
"79",2018,3,20,7.38,4.22,9,0.81,5,0.47,"Interruption",13.02,7.09,17,2.89
"80",2018,3,21,11.25,9.44,16,1.61,5,0.74,"Classic",9999,9999,9999,9999
"81",2018,3,22,10.12,12.2,16,2.51,4,0.81,"Classic",9999,9999,9999,9999
"82",2018,3,23,10.21,12.78,14,1.98,4,0.85,"Classic",9999,9999,9999,9999
"83",2018,3,24,10.24,13.33,13,1.2,5,0.54,"Classic",9999,9999,9999,9999
"84",2018,3,25,10.23,10.84,13,1.53,6,0.8,"Classic",9999,9999,9999,9999
"85",2018,3,26,9.21,10,14,2.2,6,1.13,"Classic",9999,9999,9999,9999
"86",2018,3,27,12.46,13.46,16,1.79,6,1.43,"Classic",9999,9999,9999,9999
"87",2018,3,28,10.26,6.09,13,0.95,7,1.58,"Interruption",1.64,4.61,4,0.22
"88",2018,3,29,10.48,11.87,13,0.44,7,1.76,"Classic",9999,9999,9999,9999
"89",2018,3,30,9.21,9.19,14,1.78,7,1.62,"Classic",9999,9999,9999,9999
"90",2018,3,31,11,10.79,15,3.27,7,1.67,"Classic",9999,9999,9999,9999
"91",2018,4,1,10.96,10.95,14,2.16,7,2,"Classic",9999,9999,9999,9999
"92",2018,4,2,10.93,8.92,15,2.16,7,2.19,"Interruption",23.11,4.28,1,0.74
"93",2018,4,3,10.55,8.71,15,1.33,7,2.61,"Interruption",2.62,2.42,4,0.26
"94",2018,4,4,10.22,11,13,1.26,8,2.76,"Classic",9999,9999,9999,9999
"95",2018,4,5,8.52,7.92,13,2.13,8,2.57,"Classic",9999,9999,9999,9999
"96",2018,4,6,9.72,7.89,13,2.13,8,2.41,"Classic",9999,9999,9999,9999
"97",2018,4,7,9.38,8.06,13,1.43,8,2.61,"Interruption",2.03,4.85,5,0.47
"98",2018,4,8,10.28,6.78,14,2.01,1,2.73,"Classic",9999,9999,9999,9999
"99",2018,4,9,10.65,7.52,15,2.18,1,2.57,"Classic",9999,9999,9999,9999
"100",2018,4,10,9.6,6.82,13,2.15,1,2.22,"Classic",9999,9999,9999,9999
"101",2018,4,11,10.96,8.17,15,2.09,1,1.91,"Classic",9999,9999,9999,9999
"102",2018,4,12,9.69,12.24,12,1.84,2,1.89,"Classic",9999,9999,9999,9999
"103",2018,4,13,9.66,7.62,13,2.42,2,1.96,"Classic",9999,9999,9999,9999
"104",2018,4,14,10.36,7.55,14,1.86,2,2.06,"Interruption",22.84,4.14,1,0.84
"105",2018,4,15,10,7.78,14,1.88,2,1.9,"Classic",9999,9999,9999,9999
"106",2018,4,16,10.05,8.64,14,2.12,3,1.86,"Classic",9999,9999,9999,9999
"107",2018,4,17,9.02,10.28,15,1.97,3,1.55,"Classic",9999,9999,9999,9999
"108",2018,4,18,8.04,9.76,14,1.34,3,1.29,"Classic",9999,9999,9999,9999
"109",2018,4,19,7.3,11.51,14,1.6,3,0.96,"Interruption",20.33,4.43,23,0.2
"110",2018,4,20,11.71,7.57,16,1.52,3,0.82,"Classic",9999,9999,9999,9999
"111",2018,4,21,6.86,9.77,13,1.57,3,0.56,"Classic",9999,9999,9999,9999
"112",2018,4,22,9.84,11.01,13,2.4,3,0.38,"Classic",9999,9999,9999,9999
"113",2018,4,23,9.99,6.16,13,1.45,4,0.31,"Classic",9999,9999,9999,9999
"114",2018,4,24,10.66,14.53,17,1.96,5,0.44,"Classic",9999,9999,9999,9999
"115",2018,4,25,14.02,5.09,16,0.62,5,0.55,"Classic",9999,9999,9999,9999
"116",2018,4,26,10.01,7.22,13,2.77,5,0.41,"Interruption",1.52,2.73,3,0.2
"117",2018,4,27,10.18,4.57,12,0.74,6,0.26,"Classic",9999,9999,9999,9999
"118",2018,4,28,9.77,11.43,14,1.63,8,0.18,"Classic",9999,9999,9999,9999
"119",2018,4,29,11.07,11.51,15,1.75,7,0.33,"Classic",9999,9999,9999,9999
"120",2018,4,30,10.72,6.06,13,2.07,7,0.47,"Classic",9999,9999,9999,9999
"121",2018,5,1,9.17,9.56,13,1.74,7,0.71,"Classic",9999,9999,9999,9999
"122",2018,5,2,10.63,5.41,13,1.78,7,0.68,"Interruption",20.9,2.48,22,0.29
"123",2018,5,3,9.97,6.25,13,2.34,7,0.75,"Classic",9999,9999,9999,9999
"124",2018,5,4,9.65,7.31,13,2.6,7,0.77,"Classic",9999,9999,9999,9999
"125",2018,5,5,9.95,6.82,13,2.34,8,1.29,"Classic",9999,9999,9999,9999
"126",2018,5,6,9.6,8.25,13,1.43,8,1.72,"Classic",9999,9999,9999,9999
"127",2018,5,7,9,10.3,14,1.88,8,1.59,"Classic",9999,9999,9999,9999
"128",2018,5,8,10.49,9.14,15,2.74,1,1.69,"Classic",9999,9999,9999,9999
"129",2018,5,9,11.15,10.87,15,3.18,1,2.01,"Classic",9999,9999,9999,9999
"130",2018,5,10,10.03,7.02,14,2.11,1,2.09,"Classic",9999,9999,9999,9999
"131",2018,5,11,10.93,6.68,14,2.18,1,2.13,"Interruption",21.98,2.29,23,0.25
"132",2018,5,12,9.53,8.47,14,1.75,1,2.27,"Classic",9999,9999,9999,9999
"133",2018,5,13,10.53,8.69,14,2.64,1,2.57,"Classic",9999,9999,9999,9999
"134",2018,5,14,10.09,6.64,13,2.19,1,2.48,"Classic",9999,9999,9999,9999
"135",2018,5,15,8.97,9.65,15,1.87,1,2.2,"Classic",9999,9999,9999,9999
"136",2018,5,16,10.11,6.35,13,1.89,1,2.03,"Interruption",0.9,5.31,4,0.93
"137",2018,5,17,9.78,7.26,13,2.08,1,2.03,"Classic",9999,9999,9999,9999
"138",2018,5,18,10.44,6.79,14,2.23,2,2.01,"Classic",9999,9999,9999,9999
"139",2018,5,19,9.38,8.98,14,2.5,2,2.11,"Classic",9999,9999,9999,9999
"140",2018,5,20,10.75,6.73,14,2.69,2,2.12,"Interruption",1.32,4.32,4,0.52
"141",2018,5,21,11.41,9.44,14,1.93,2,2.09,"Classic",9999,9999,9999,9999
"142",2018,5,22,9.38,8.95,13,1.79,2,2.01,"Classic",9999,9999,9999,9999
"143",2018,5,23,9.49,7.41,13,1.76,2,2,"Interruption",2.72,2.32,4,0.21
"144",2018,5,24,10.34,6.63,13,1.18,2,1.82,"Interruption",21.09,5.37,0,0.75
"145",2018,5,25,10.21,7.43,14,2.15,2,1.84,"Classic",9999,9999,9999,9999
"146",2018,5,26,10.33,7.2,14,3.2,2,2,"Classic",9999,9999,9999,9999
"147",2018,5,27,13.52,8,18,2.04,2,1.84,"Interruption",2.72,2.68,4,0.25
"148",2018,5,28,11.49,11.48,14,1.35,3,1.63,"Classic",9999,9999,9999,9999
"149",2018,5,29,10.2,8.59,14,1.83,3,1.69,"Classic",9999,9999,9999,9999
"150",2018,5,30,8.02,9.21,14,1.61,4,1.48,"Classic",9999,9999,9999,9999
"151",2018,5,31,10.16,14.08,15,1.81,4,1.31,"Classic",9999,9999,9999,9999
"152",2018,6,1,13.8,10.34,21,1.63,5,1.26,"Classic",9999,9999,9999,9999
"153",2018,6,2,10.18,12.58,14,3.09,5,1.29,"Classic",9999,9999,9999,9999
"154",2018,6,3,10.1,7.14,14,1.69,5,1.59,"Classic",9999,9999,9999,9999
"155",2018,6,4,10.66,12.13,14,1.95,5,1.57,"Classic",9999,9999,9999,9999
"156",2018,6,5,11.21,7.51,15,2.55,6,1.38,"Classic",9999,9999,9999,9999
"157",2018,6,6,11.46,9.53,16,1.73,6,1.19,"Classic",9999,9999,9999,9999
"158",2018,6,7,10.21,10.09,14,1.74,6,1.15,"Classic",9999,9999,9999,9999
"159",2018,6,8,9.66,10.08,13,1.86,6,0.88,"Classic",9999,9999,9999,9999
"160",2018,6,9,10.36,13.81,14,1.47,7,0.42,"Classic",9999,9999,9999,9999
"161",2018,6,10,11.14,8.85,14,1.63,7,0.38,"Classic",9999,9999,9999,9999
"162",2018,6,11,10.52,7.83,14,1.26,6,0.33,"Interruption",2.05,3.15,4,0.3
"163",2018,6,12,9.82,7.12,13,1.29,5,0.21,"Interruption",18.01,4.88,20,0.12
"164",2018,6,13,10.22,9.43,15,1.72,6,0.16,"Classic",9999,9999,9999,9999
"165",2018,6,14,9.22,11.33,18,1.51,7,0.2,"Interruption",1.69,2.45,3,0.19
"166",2018,6,15,18.93,6.63,23,0.85,2,0.38,"Classic",9999,9999,9999,9999
"167",2018,6,16,10.44,7.37,14,2.44,1,0.79,"Classic",9999,9999,9999,9999
"168",2018,6,17,11.17,6.06,14,1.38,1,1.27,"Interruption",2.85,19.24,13,1.88
"169",2018,6,19,11.64,10.24,18,0.94,1,1.6,"Classic",9999,9999,9999,9999
"170",2018,6,20,11.38,9.69,16,2.29,1,1.49,"Classic",9999,9999,9999,9999
"171",2018,6,21,11.24,8.53,16,2.21,1,1.23,"Classic",9999,9999,9999,9999
"172",2018,6,22,10.51,6.94,14,2.34,1,1.15,"Interruption",21.23,3.25,23,0.33
"173",2018,6,23,9.35,11.41,13,2.02,1,1.17,"Classic",9999,9999,9999,9999
"174",2018,6,24,10.76,8.25,15,3.05,2,1.25,"Classic",9999,9999,9999,9999
"175",2018,6,25,11.42,14.2,17,1.62,2,1.43,"Classic",9999,9999,9999,9999
"176",2018,6,26,11.13,7.75,15,1.92,2,1.57,"Classic",9999,9999,9999,9999
"177",2018,6,27,10.67,8.77,15,2.77,1,1.68,"Classic",9999,9999,9999,9999
"178",2018,6,28,11.95,9.82,14,1.02,1,1.7,"Interruption",2.66,3.81,5,0.77
"179",2018,6,29,11.06,6.04,14,2.76,1,1.57,"Classic",9999,9999,9999,9999
"180",2018,6,30,9.75,7.65,14,1.17,2,1.09,"Classic",9999,9999,9999,9999
"181",2018,7,1,6.32,10.27,14,1.87,2,0.76,"Interruption",2.95,3.12,5,0.39
"182",2018,7,2,10.52,7.71,14,2.11,2,0.53,"Classic",9999,9999,9999,9999
"183",2018,7,3,11.6,5.75,15,1.68,2,0.38,"Classic",9999,9999,9999,9999
"184",2018,7,4,11.12,9.52,14,1.54,1,0.13,"Interruption",0.64,4.85,3,0.7
"185",2018,7,5,9.34,8.3,13,0.93,6,0.34,"Classic",9999,9999,9999,9999
"186",2018,7,6,9.75,7.41,13,1.57,6,0.46,"Classic",9999,9999,9999,9999
"187",2018,7,7,9.36,10.15,15,1.53,5,0.64,"Classic",9999,9999,9999,9999
"188",2018,7,8,10.34,7.53,14,1.65,4,1.08,"Classic",9999,9999,9999,9999
"189",2018,7,9,10.85,9.05,14,1.45,4,1.23,"Interruption",3.58,4.21,6,0.59
"190",2018,7,10,9.67,7.75,14,2.95,4,1.36,"Classic",9999,9999,9999,9999
"191",2018,7,11,10.7,8.54,15,1.92,5,1.47,"Classic",9999,9999,9999,9999
"192",2018,7,12,10.64,7.9,14,1.93,5,1.53,"Classic",9999,9999,9999,9999
"193",2018,7,13,8.08,11.82,17,1.1,5,1.77,"Classic",9999,9999,9999,9999
"194",2018,7,14,10.96,14.5,15,1.84,5,2.1,"Classic",9999,9999,9999,9999
"195",2018,7,15,10.45,9.2,14,1.51,5,2.48,"Classic",9999,9999,9999,9999
"196",2018,7,16,11.22,9.74,15,1.74,5,2.56,"Classic",9999,9999,9999,9999
"197",2018,7,17,9.76,9.28,15,1.71,5,2.71,"Classic",9999,9999,9999,9999
"198",2018,7,18,10.28,12.31,15,1.18,5,2.67,"Classic",9999,9999,9999,9999
"199",2018,7,19,11.11,10.35,15,2.12,6,2.46,"Classic",9999,9999,9999,9999
"200",2018,7,20,9.93,8.23,14,2.11,6,2.26,"Classic",9999,9999,9999,9999
"201",2018,7,21,10.02,8.58,15,1.23,6,1.97,"Classic",9999,9999,9999,9999
"202",2018,7,22,9.31,8.95,14,1.38,6,2.06,"Classic",9999,9999,9999,9999
"203",2018,7,23,9.91,9.11,15,1.25,6,2.11,"Classic",9999,9999,9999,9999
"204",2018,7,24,10.31,11.03,13,1.33,6,1.89,"Classic",9999,9999,9999,9999
"205",2018,7,25,10.31,9.98,15,1.43,6,1.81,"Classic",9999,9999,9999,9999
"206",2018,7,26,9.37,7.88,13,2.56,6,1.44,"Classic",9999,9999,9999,9999
"207",2018,7,27,10.82,8.21,15,1.52,6,1.37,"Classic",9999,9999,9999,9999
"208",2018,7,28,8.21,10.68,12,1.19,6,1.19,"Interruption",0.47,3.68,2,0.23
"209",2018,7,29,11.98,7.05,15,0.88,6,0.89,"Classic",9999,9999,9999,9999
"210",2018,7,30,9.37,10.8,13,1.16,6,0.76,"Classic",9999,9999,9999,9999
"211",2018,7,31,8.78,9.66,12,0.88,6,1.08,"Interruption",0.79,2.75,2,0.22
"212",2018,8,1,9.23,7.88,13,1.89,6,1.38,"Interruption",21.91,2.75,23,0.28
"213",2018,8,2,11.59,8.3,15,2.09,7,1.73,"Classic",9999,9999,9999,9999
"214",2018,8,3,10.23,8.09,14,1.26,7,1.58,"Classic",9999,9999,9999,9999
"215",2018,8,4,10.76,10.08,14,1.03,7,1.19,"Classic",9999,9999,9999,9999
"216",2018,8,5,11.37,10.3,15,0.82,6,1.56,"Classic",9999,9999,9999,9999
"217",2018,8,6,11.44,17.04,16,0.84,6,1.81,"Classic",9999,9999,9999,9999
"218",2018,8,7,11.46,9.65,14,1.28,6,1.58,"Classic",9999,9999,9999,9999
"219",2018,8,8,8.81,10.88,12,1.67,6,1.49,"Classic",9999,9999,9999,9999
"220",2018,8,9,6.81,13.14,16,1.84,6,1.74,"Classic",9999,9999,9999,9999
"221",2018,8,10,10.32,7.27,14,1.62,6,2.14,"Classic",9999,9999,9999,9999
